name,color
ARNAVUTKOY,#6A5ACD
ATASEHIR,#6A5ACD
AVCILAR,#6A5ACD
BAGCILAR,#6A5ACD
BAHCELIEVLER,#6A5ACD
BAKIRKOY,#6A5ACD
BASAKSEHIR,#6A5ACD
BAYRAMPASA,#6A5ACD
BESIKTAS,#6A5ACD
BEYKOZ,#6A5ACD
BEYLIKDUZU,#6A5ACD
BEYOGLU,#6A5ACD
BUYUKCEKMECE,#6A5ACD
CATALCA,#6A5ACD
CEKMEKOY,#6A5ACD
ESENLER,#6A5ACD
ESENYURT,#6A5ACD
EYUP,#6A5ACD
FATIH,#6A5ACD
GAZIOSMANPASA,#6A5ACD
GUNGOREN,#6A5ACD
KADIKOY,#6A5ACD
KAGITHANE,#6A5ACD
KARTAL,#6A5ACD
KUCUKCEKMECE,#6A5ACD
MALTEPE,#6A5ACD
PENDIK,#6A5ACD
SANCAKTEPE,#6A5ACD
SARIYER,#6A5ACD
SILE,#6A5ACD
SILIVRI,#6A5ACD
SISLI,#6A5ACD
SULTANBEYLI,#6A5ACD
SULTANGAZI,#6A5ACD
TUZLA,#6A5ACD
UMRANIYE,#6A5ACD
USKUDAR,#6A5ACD
ZEYTINBURNU,#6A5ACD
ADALAR,#6A5ACD